adj_density,adj_ttr,adv_density,adv_ttr,adversative_connectives,adversative_connectives_incidence,agentless_passive_incidence,all_connectives,all_connectives_incidence,argument_overlap_adjacent,argument_overlap_all,causal_connectives,causal_connectives_incidence,conditional_connectives,conditional_connectives_incidence,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std,content_ttr,flesch,gerund_incidence,honore,hypernymy_index,hypernymy_nouns_index,hypernymy_verbs_index,infinitive_incidence,left_embeddedness,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,lemma_nttr,lemma_ttr,lemma_vttr,lemmas_length_mean,lemmas_length_std,lexical_density,logical_connectives,logical_connectives_incidence,maas,mean_depth_per_sentence,mean_distinct_rare,mean_distinct_rare_incidence,mean_np_per_sentence,mean_propositions_per_sentence,mean_rare,mean_rare_incidence,mean_vp_per_sentence,min_wf_per_sentence,mtld,negation_incidence,noun_density,noun_overlap_adjacent,noun_overlap_all,noun_phrase_density_incidence,nttr,num_a1_words,num_a1_words_incidence,num_a2_words,num_a2_words_incidence,num_adj,num_adj_incidence,num_adv,num_adv_incidence,num_agentless,num_b1_words,num_b1_words_incidence,num_b2_words,num_b2_words_incidence,num_c1_words,num_c1_words_incidence,num_content_words_not_a1_c1_words,num_content_words_not_a1_c1_words_incidence,num_decendents_noun_phrase,num_dif_rare_words,num_dif_rare_words_incidence,num_different_forms,num_first_pers_pron,num_first_pers_pron_incidence,num_first_pers_sing_pron,num_first_pers_sing_pron_incidence,num_future,num_future_incidence,num_ger,num_impera,num_impera_incidence,num_indic,num_indic_incidence,num_inf,num_lexic_words,num_lexic_words_incidence,num_modifiers_noun_phrase,num_neg,num_noun,num_noun_incidence,num_paragraphs,num_paragraphs_incidence,num_pass,num_pass_incidence,num_pass_mean,num_past,num_past_incidence,num_past_irregular,num_past_irregular_incidence,num_past_irregular_mean,num_personal_pronouns,num_personal_pronouns_incidence,num_pres,num_pres_incidence,num_proper_noun,num_proper_noun_incidence,num_punct_in_sentence,num_punct_marks_per_sentence,num_rare_adj,num_rare_adj_incidence,num_rare_advb,num_rare_advb_incidence,num_rare_nouns,num_rare_nouns_incidence,num_rare_verbs,num_rare_verbs_incidence,num_rare_words,num_rare_words_incidence,num_rel_subord,num_rel_subord_incidence,num_sentences,num_sentences_incidence,num_subord,num_subord_incidence,num_syllables_words_mean,num_syllables_words_std,num_third_pers_pron,num_third_pers_pron_incidence,num_total_prop,num_verb,num_verb_incidence,num_words,num_words_more_3_syl,num_words_with_punct,polysemic_index,prop,ratio_proper_nouns_per_nouns,sentences_length_mean,sentences_length_no_stopwords_mean,sentences_length_no_stopwords_std,sentences_length_std,sentences_per_paragraph_mean,sentences_per_paragraph_std,similarity_adjacent_mean,similarity_adjacent_par_mean,similarity_adjacent_par_std,similarity_adjacent_std,similarity_pairs_par_mean,similarity_pairs_par_std,simple_ttr,smog,stem_overlap_adjacent,stem_overlap_all,temporal_connectives,temporal_connectives_incidence,verb_density,verb_phrase_density_incidence,vttr,words_length_mean,words_length_no_stopwords_mean,words_length_no_stopwords_std,words_length_std,level
0.0786,0.8772,0.0483,0.6571,4.0,5.5172,12.4138,48.0,66.2069,0.4286,0.2968,2.0,2.7586,1.0,1.3793,0.0303,0.0357,0.0154,0.0284,0.7314,50.4506,12.4138,1023.6999,5.4225,7.753,2.1441,46.8966,7.25,0.8772,0.6571,0.6734,0.5207,0.4676,0.6387,4.5698,2.5739,0.5241,27.0,37.2414,0.0513,5.7778,15.4717,21.3403,6.3611,3.4722,12.6316,17.4229,3.3056,3.0075,87.3611,12.4138,0.2331,0.32,0.3396,315.8621,0.568,224.0,308.9655,52.0,71.7241,57.0,78.6207,35.0,48.2759,9.0,14.0,19.3103,26.0,35.8621,6.0,8.2759,159.0,219.3103,1.5328,41.0,56.5517,340,17.0,23.4483,4.0,5.5172,0.0,0.0,9.0,0.0,0.0,53.0,73.1034,34.0,380.0,524.1379,1.2096,9.0,169.0,233.1034,11,15.1724,9.0,12.4138,0.0124,47.0,64.8276,19.0,26.2069,0.4043,38.0,52.4138,27.0,37.2414,26.0,35.8621,1,2.1667,11.0,15.1724,3.0,4.1379,20.0,27.5862,14.0,19.3103,48.0,66.2069,13.0,17.931,36.0,49.6552,74.0,102.069,1.6069,0.9762,20.0,27.5862,125.0,119.0,164.1379,725.0,45.0,803.0,6.158,5,0.1333,20.1389,7.8889,4.8636,9.289,3.2727,1.4827,0.8165,0.8157,0.0441,0.0761,0.7904,0.0792,0.469,9.5161,0.3429,0.2206,14.0,19.3103,0.1641,164.1379,0.8235,4.8366,6.9859,2.4837,2.7371,2
0.0835,0.7375,0.0668,0.6094,7.0,7.3069,9.3946,100.0,104.3841,0.4688,0.3049,10.0,10.4384,1.0,1.0438,0.032,0.0872,0.0149,0.0315,0.6984,52.412,9.3946,982.4955,5.6667,7.7277,2.1825,16.7015,6.0909,0.7375,0.6094,0.6604,0.6854,0.4969,0.6094,4.3098,2.2781,0.5063,44.0,45.929,0.0493,6.4545,21.1765,22.1049,8.7879,4.1818,17.1134,17.8637,3.8788,3.1245,116.6949,5.2192,0.2223,0.3333,0.225,302.714,0.7277,296.0,308.977,59.0,61.5866,80.0,83.5073,64.0,66.8058,9.0,24.0,25.0522,31.0,32.3591,20.0,20.8768,180.0,187.8914,2.1931,72.0,75.1566,435,8.0,8.3507,6.0,6.263,0.0,0.0,9.0,0.0,0.0,57.0,59.499,16.0,485.0,506.263,1.431,5.0,213.0,222.3382,12,12.5261,10.0,10.4384,0.0104,86.0,89.7704,46.0,48.0167,0.5349,43.0,44.8852,13.0,13.5699,62.0,64.7182,2,3.1515,13.0,13.5699,4.0,4.1754,42.0,43.8413,24.0,25.0522,83.0,86.6388,14.0,14.6138,33.0,34.4468,67.0,69.9374,1.477,0.8468,35.0,36.5344,138.0,128.0,133.6117,958.0,38.0,1062.0,6.9684,4,0.2255,29.0303,11.8485,8.7286,17.9418,2.75,1.3617,0.8212,0.8104,0.0532,0.075,0.7923,0.1004,0.4541,9.2594,0.3438,0.1591,38.0,39.666,0.1336,133.6117,0.7188,4.5406,6.4143,2.2003,2.3618,2
0.0751,0.8333,0.0469,0.7556,2.0,2.0855,11.4703,77.0,80.292,0.1667,0.1633,6.0,6.2565,0.0,0.0,0.0148,0.0358,0.0143,0.0356,0.7291,62.1431,6.2565,1018.788,5.5085,7.373,2.3727,18.7696,4.2041,0.8333,0.7556,0.6867,0.6223,0.4943,0.5357,4.4634,2.4348,0.4348,46.0,47.9666,0.0541,5.2449,17.5258,18.2751,6.7755,3.1429,12.9496,13.5032,2.2857,3.3567,77.2015,1.0428,0.196,0.069,0.0426,346.194,0.6489,304.0,316.9969,41.0,42.7529,72.0,75.0782,45.0,46.9239,11.0,23.0,23.9833,17.0,17.7268,9.0,9.3848,160.0,166.8405,1.6054,51.0,53.1804,410,17.0,17.7268,9.0,9.3848,0.0,0.0,6.0,0.0,0.0,53.0,55.2659,18.0,417.0,434.8279,1.1988,1.0,188.0,196.0375,20,20.8551,12.0,12.513,0.0125,58.0,60.4797,30.0,31.2826,0.5172,51.0,53.1804,28.0,29.1971,128.0,133.4724,2,2.449,8.0,8.342,3.0,3.1283,30.0,31.2826,13.0,13.5558,54.0,56.3087,8.0,8.342,49.0,51.0949,57.0,59.4369,1.4755,0.7851,34.0,35.4536,154.0,112.0,116.7883,959.0,26.0,1079.0,6.6341,4,0.4051,19.5714,8.0,5.2138,11.5987,2.45,1.0712,0.7324,0.7543,0.1106,0.1788,0.7195,0.172,0.4275,7.2904,0.125,0.1105,23.0,23.9833,0.1168,116.7883,0.6786,4.6405,6.6786,2.2266,2.5028,2
0.0674,0.7031,0.0527,0.72,4.0,4.215,4.215,66.0,69.5469,0.3061,0.2212,6.0,6.3224,0.0,0.0,0.0103,0.022,0.0097,0.0277,0.7114,65.3505,20.0211,1039.5621,5.351,7.4795,2.0214,24.236,4.84,0.7031,0.72,0.6677,0.6621,0.4995,0.5857,4.3123,2.281,0.4984,29.0,30.5585,0.0516,5.32,16.9697,17.8817,6.22,2.98,15.8562,16.7083,2.8,2.648,113.2388,3.1612,0.2308,0.0833,0.0879,327.7134,0.6941,298.0,314.0148,50.0,52.687,64.0,67.4394,50.0,52.687,4.0,17.0,17.9136,31.0,32.666,7.0,7.3762,197.0,207.5869,1.627,56.0,59.0095,419,11.0,11.5911,9.0,9.4837,0.0,0.0,19.0,0.0,0.0,66.0,69.5469,23.0,473.0,498.4194,1.1704,3.0,219.0,230.7692,14,14.7524,4.0,4.215,0.0042,77.0,81.138,37.0,38.9884,0.4805,63.0,66.3857,19.0,20.0211,66.0,69.5469,4,2.4,10.0,10.5374,4.0,4.215,45.0,47.4183,16.0,16.8599,75.0,79.0306,14.0,14.7524,50.0,52.687,76.0,80.0843,1.4447,0.7333,46.0,48.4721,149.0,140.0,147.5237,949.0,16.0,1069.0,7.9957,5,0.2316,18.98,7.34,5.1947,10.5802,3.5714,1.9535,0.747,0.758,0.055,0.0877,0.7373,0.0914,0.4415,6.3607,0.1429,0.0767,27.0,28.451,0.1475,147.5237,0.7286,4.5691,6.4768,2.1342,2.3676,2
0.0645,0.7576,0.0616,0.6349,12.0,11.7302,8.7977,82.0,80.1564,0.3611,0.2357,12.0,11.7302,2.0,1.955,0.0285,0.0353,0.0171,0.026,0.7082,45.7106,12.7077,1104.3754,5.2966,7.3609,2.1523,25.4154,7.3243,0.7576,0.6349,0.6757,0.7222,0.52,0.5882,4.5798,2.4167,0.5044,36.0,35.1906,0.0445,6.6486,18.1572,17.749,8.9459,4.4324,13.5659,13.2609,4.1351,1.8814,138.2844,2.9326,0.2287,0.2917,0.2128,323.5582,0.7607,328.0,320.6256,53.0,51.8084,66.0,64.5161,63.0,61.5836,9.0,31.0,30.303,38.0,37.1457,6.0,5.8651,209.0,204.3011,1.7311,67.0,65.4936,488,4.0,3.9101,2.0,1.955,0.0,0.0,13.0,1.0,0.9775,76.0,74.2913,26.0,516.0,504.3988,1.2538,3.0,234.0,228.739,13,12.7077,10.0,9.7752,0.0098,55.0,53.7634,19.0,18.5728,0.3455,36.0,35.1906,54.0,52.7859,87.0,85.044,2,2.7568,7.0,6.8426,1.0,0.9775,36.0,35.1906,26.0,25.4154,70.0,68.4262,25.0,24.4379,37.0,36.1681,90.0,87.9765,1.5728,0.9138,32.0,31.2805,164.0,153.0,149.5601,1023.0,53.0,1125.0,5.9663,6,0.271,27.6486,11.2973,6.1594,13.5531,2.8462,1.4058,0.813,0.8145,0.0467,0.0661,0.7957,0.0715,0.477,9.9664,0.2778,0.1231,20.0,19.5503,0.1496,149.5601,0.6797,4.7914,6.9426,2.2492,2.5441,2
0.0704,0.8679,0.0319,0.8333,5.0,6.6401,1.328,51.0,67.7291,0.4,0.2175,9.0,11.9522,1.0,1.328,0.0222,0.0431,0.0122,0.0267,0.7906,48.8739,22.5764,1060.4656,5.5614,7.2432,2.45,25.2324,5.9722,0.8679,0.8333,0.7377,0.6257,0.5737,0.6238,4.6856,2.5527,0.4847,25.0,33.2005,0.0455,5.9167,14.0221,18.6216,7.3333,3.5833,12.0548,16.009,2.8056,2.8833,134.2146,2.656,0.2483,0.1765,0.125,350.5976,0.6791,208.0,276.2284,31.0,41.1687,53.0,70.3851,24.0,31.8725,1.0,40.0,53.1208,20.0,26.5604,3.0,3.9841,163.0,216.4675,1.4697,38.0,50.4648,376,16.0,21.2483,2.0,2.656,0.0,0.0,17.0,0.0,0.0,45.0,59.761,19.0,365.0,484.7278,1.0833,2.0,187.0,248.34,19,25.2324,2.0,2.656,0.0027,28.0,37.1846,17.0,22.5764,0.6071,34.0,45.1527,33.0,43.8247,88.0,116.8659,4,2.5,6.0,7.9681,1.0,1.328,30.0,39.8406,7.0,9.2961,44.0,58.4329,11.0,14.6082,36.0,47.8088,58.0,77.0252,1.6162,0.8716,17.0,22.5764,129.0,101.0,134.1301,753.0,30.0,843.0,6.5028,8,0.32,20.9167,9.4722,5.7517,12.6609,1.8947,1.2935,0.7298,0.7735,0.0791,0.1192,0.7171,0.1255,0.4993,8.3441,0.2571,0.1635,11.0,14.6082,0.1341,134.1301,0.7822,4.9648,6.9296,2.3805,2.6902,2
0.1212,0.6126,0.059,0.9074,10.0,10.917,7.6419,66.0,72.0524,0.2692,0.1909,8.0,8.7336,3.0,3.2751,0.0219,0.0385,0.0148,0.0299,0.713,42.351,5.4585,1035.3976,5.4242,7.293,1.9304,28.3843,6.2075,0.6126,0.9074,0.6721,0.5648,0.4793,0.6034,4.9306,2.8495,0.5426,30.0,32.7511,0.0513,5.5472,20.7317,22.6329,5.3774,2.6226,20.7243,22.6248,2.1887,3.1943,106.2565,2.1834,0.2358,0.2143,0.1438,311.1354,0.625,256.0,279.476,53.0,57.8603,111.0,121.179,54.0,58.952,7.0,24.0,26.2009,57.0,62.2271,23.0,25.1092,213.0,232.5328,1.8807,68.0,74.2358,409,24.0,26.2009,3.0,3.2751,0.0,0.0,5.0,0.0,0.0,48.0,52.4017,26.0,497.0,542.5764,1.3754,2.0,216.0,235.8079,11,12.0087,7.0,7.6419,0.0076,50.0,54.5852,23.0,25.1092,0.46,40.0,43.6681,32.0,34.9345,29.0,31.6594,1,2.0377,46.0,50.2183,4.0,4.3668,39.0,42.5764,14.0,15.2838,103.0,112.4454,15.0,16.3755,53.0,57.8603,67.0,73.1441,1.7369,1.1105,15.0,16.3755,139.0,116.0,126.6376,916.0,85.0,1024.0,5.5346,3,0.1184,17.283,6.9811,3.7188,8.3697,4.8182,2.8546,0.7947,0.7884,0.02,0.0681,0.779,0.0672,0.4465,10.3637,0.2115,0.143,15.0,16.3755,0.1266,126.6376,0.7069,5.141,7.6405,2.5538,2.9223,2
0.0704,0.8,0.0607,0.7143,10.0,10.8342,14.0845,78.0,84.507,0.3913,0.197,5.0,5.4171,0.0,0.0,0.0237,0.0355,0.0117,0.027,0.7187,53.7236,10.8342,931.9205,5.1341,7.2069,2.1286,36.8364,5.9787,0.8,0.7143,0.6657,0.5529,0.4464,0.5957,4.5508,2.5224,0.5092,45.0,48.7541,0.0545,5.4468,13.7072,14.8507,5.8298,3.2128,12.9787,14.0614,3.0,3.0998,108.3284,8.6674,0.2254,0.2286,0.1313,296.8581,0.6298,287.0,310.9426,72.0,78.0065,65.0,70.4225,56.0,60.6717,13.0,21.0,22.7519,26.0,28.169,12.0,13.0011,171.0,185.2654,1.6022,44.0,47.6706,396,28.0,30.3359,13.0,14.0845,0.0,0.0,10.0,0.0,0.0,60.0,65.0054,34.0,470.0,509.2091,1.1825,8.0,208.0,225.3521,12,13.0011,16.0,17.3348,0.0173,56.0,60.6717,20.0,21.6685,0.3571,41.0,44.4204,37.0,40.0867,41.0,44.4204,4,2.234,5.0,5.4171,1.0,1.0834,41.0,44.4204,14.0,15.1679,61.0,66.0888,11.0,11.9177,47.0,50.9209,75.0,81.2568,1.5742,0.8988,13.0,14.0845,151.0,141.0,152.7627,923.0,43.0,1028.0,6.9978,5,0.1647,19.6383,7.0213,5.6134,12.0732,3.9167,2.2531,0.7951,0.7959,0.0516,0.0861,0.7728,0.0805,0.429,8.5933,0.3043,0.1304,18.0,19.5016,0.1528,152.7627,0.7305,4.7675,7.1333,2.1799,2.6119,2
0.1028,0.8901,0.0621,0.7636,12.0,13.5593,6.7797,80.0,90.3955,0.1667,0.0609,10.0,11.2994,2.0,2.2599,0.0081,0.0189,0.0052,0.0153,0.8345,50.2981,18.0791,1588.2473,5.5948,7.6761,2.1846,30.5085,6.0233,0.8901,0.7636,0.7929,0.8565,0.5695,0.6615,4.5297,2.3575,0.5559,36.0,40.678,0.0324,5.907,24.5742,27.7675,6.0,3.5581,20.7317,23.4256,3.0233,2.9137,232.3859,6.7797,0.2441,0.1,0.05,291.5254,0.8843,276.0,311.8644,58.0,65.5367,91.0,102.8249,55.0,62.1469,6.0,17.0,19.209,30.0,33.8983,14.0,15.8192,200.0,225.9887,1.7481,101.0,114.1243,512,12.0,13.5593,11.0,12.4294,0.0,0.0,16.0,0.0,0.0,46.0,51.9774,27.0,492.0,555.9322,1.2946,6.0,216.0,244.0678,13,14.6893,6.0,6.7797,0.0068,47.0,53.1073,16.0,18.0791,0.3404,26.0,29.3785,36.0,40.678,45.0,50.8475,1,2.4651,23.0,25.9887,5.0,5.6497,54.0,61.0169,20.0,22.5989,102.0,115.2542,5.0,5.6497,43.0,48.5876,77.0,87.0056,1.6034,0.8943,10.0,11.2994,153.0,130.0,146.8927,885.0,38.0,991.0,6.2639,4,0.1724,20.5814,9.1395,6.8321,12.1526,3.3077,1.264,0.7771,0.7641,0.0162,0.0546,0.762,0.0634,0.5785,8.4994,0.0714,0.0343,20.0,22.5989,0.1469,146.8927,0.8,4.7735,6.6158,2.1419,2.4942,2
0.102,0.7188,0.0404,0.7632,8.0,8.5016,3.1881,82.0,87.1413,0.4091,0.2949,8.0,8.5016,0.0,0.0,0.0218,0.0329,0.0173,0.0287,0.7281,44.82,21.254,1005.773,5.9583,7.9048,2.2424,24.4421,5.2,0.7188,0.7632,0.6806,0.6192,0.543,0.6212,4.6947,2.4911,0.559,51.0,54.1977,0.0438,5.4889,22.1607,23.5502,6.9111,3.2,22.6236,24.0421,2.9333,2.1067,152.1564,4.2508,0.2763,0.3333,0.3077,330.4995,0.6577,273.0,290.1169,35.0,37.1945,96.0,102.0191,38.0,40.3826,3.0,56.0,59.5112,35.0,37.1945,14.0,14.8778,237.0,251.8597,1.6688,80.0,85.0159,460,5.0,5.3135,4.0,4.2508,0.0,0.0,20.0,1.0,1.0627,47.0,49.9469,23.0,526.0,558.9798,1.209,4.0,260.0,276.3018,18,19.1286,4.0,4.2508,0.0043,38.0,40.3826,11.0,11.6897,0.2895,29.0,30.8183,48.0,51.0096,51.0,54.1977,3,2.8,21.0,22.3167,1.0,1.0627,73.0,77.577,24.0,25.5048,119.0,126.4612,5.0,5.3135,45.0,47.8215,51.0,54.1977,1.6642,1.01,24.0,25.5048,144.0,132.0,140.2763,941.0,72.0,1067.0,5.8932,4,0.164,20.9111,10.0889,4.8936,8.8338,2.5,0.7638,0.7446,0.7463,0.0926,0.1779,0.7301,0.173,0.4888,10.3552,0.3182,0.2495,15.0,15.9405,0.1403,140.2763,0.7727,4.9515,6.7665,2.3189,2.638,2
