adj_density,adj_ttr,adv_density,adv_ttr,adversative_connectives,adversative_connectives_incidence,agentless_passive_incidence,all_connectives,all_connectives_incidence,argument_overlap_adjacent,argument_overlap_all,causal_connectives,causal_connectives_incidence,conditional_connectives,conditional_connectives_incidence,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std,content_ttr,flesch,gerund_incidence,honore,hypernymy_index,hypernymy_nouns_index,hypernymy_verbs_index,infinitive_incidence,left_embeddedness,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,lemma_nttr,lemma_ttr,lemma_vttr,lemmas_length_mean,lemmas_length_std,lexical_density,logical_connectives,logical_connectives_incidence,maas,mean_depth_per_sentence,mean_distinct_rare,mean_distinct_rare_incidence,mean_np_per_sentence,mean_propositions_per_sentence,mean_rare,mean_rare_incidence,mean_vp_per_sentence,min_wf_per_sentence,mtld,negation_incidence,noun_density,noun_overlap_adjacent,noun_overlap_all,noun_phrase_density_incidence,nttr,num_a1_words,num_a1_words_incidence,num_a2_words,num_a2_words_incidence,num_adj,num_adj_incidence,num_adv,num_adv_incidence,num_agentless,num_b1_words,num_b1_words_incidence,num_b2_words,num_b2_words_incidence,num_c1_words,num_c1_words_incidence,num_content_words_not_a1_c1_words,num_content_words_not_a1_c1_words_incidence,num_decendents_noun_phrase,num_dif_rare_words,num_dif_rare_words_incidence,num_different_forms,num_first_pers_pron,num_first_pers_pron_incidence,num_first_pers_sing_pron,num_first_pers_sing_pron_incidence,num_future,num_future_incidence,num_ger,num_impera,num_impera_incidence,num_indic,num_indic_incidence,num_inf,num_lexic_words,num_lexic_words_incidence,num_modifiers_noun_phrase,num_neg,num_noun,num_noun_incidence,num_paragraphs,num_paragraphs_incidence,num_pass,num_pass_incidence,num_pass_mean,num_past,num_past_incidence,num_past_irregular,num_past_irregular_incidence,num_past_irregular_mean,num_personal_pronouns,num_personal_pronouns_incidence,num_pres,num_pres_incidence,num_proper_noun,num_proper_noun_incidence,num_punct_in_sentence,num_punct_marks_per_sentence,num_rare_adj,num_rare_adj_incidence,num_rare_advb,num_rare_advb_incidence,num_rare_nouns,num_rare_nouns_incidence,num_rare_verbs,num_rare_verbs_incidence,num_rare_words,num_rare_words_incidence,num_rel_subord,num_rel_subord_incidence,num_sentences,num_sentences_incidence,num_subord,num_subord_incidence,num_syllables_words_mean,num_syllables_words_std,num_third_pers_pron,num_third_pers_pron_incidence,num_total_prop,num_verb,num_verb_incidence,num_words,num_words_more_3_syl,num_words_with_punct,polysemic_index,prop,ratio_proper_nouns_per_nouns,sentences_length_mean,sentences_length_no_stopwords_mean,sentences_length_no_stopwords_std,sentences_length_std,sentences_per_paragraph_mean,sentences_per_paragraph_std,similarity_adjacent_mean,similarity_adjacent_par_mean,similarity_adjacent_par_std,similarity_adjacent_std,similarity_pairs_par_mean,similarity_pairs_par_std,simple_ttr,smog,stem_overlap_adjacent,stem_overlap_all,temporal_connectives,temporal_connectives_incidence,verb_density,verb_phrase_density_incidence,vttr,words_length_mean,words_length_no_stopwords_mean,words_length_no_stopwords_std,words_length_std,level
0.0803,0.8621,0.0499,0.6667,4.0,5.5402,12.4654,48.0,66.482,0.4286,0.2968,2.0,2.7701,1.0,1.385,0.0291,0.0358,0.0154,0.0288,0.7331,49.9703,13.8504,1045.0566,5.412,7.7425,2.0855,45.7064,7.1389,0.8621,0.6667,0.6734,0.5205,0.4723,0.6441,4.5806,2.569,0.5305,27.0,37.3961,0.051,5.9444,16.0448,22.2227,6.1944,3.3056,13.0548,18.0814,3.2778,3.0114,87.3611,12.4654,0.2368,0.32,0.3396,308.8643,0.5731,221.0,306.0942,52.0,72.0222,58.0,80.3324,36.0,49.8615,9.0,15.0,20.7756,26.0,36.0111,6.0,8.3102,161.0,222.9917,1.6009,43.0,59.5568,340,17.0,23.5457,4.0,5.5402,0.0,0.0,10.0,0.0,0.0,52.0,72.0222,33.0,383.0,530.4709,1.2332,9.0,171.0,236.8421,11,15.2355,9.0,12.4654,0.0125,46.0,63.7119,16.0,22.1607,0.3478,38.0,52.6316,27.0,37.3961,24.0,33.241,1,2.1667,10.0,13.8504,3.0,4.1551,21.0,29.0859,16.0,22.1607,50.0,69.2521,14.0,19.3906,36.0,49.8615,68.0,94.1828,1.6136,0.977,20.0,27.7008,119.0,118.0,163.4349,722.0,45.0,800.0,6.1402,3,0.1231,20.0556,7.9167,4.8384,9.3183,3.2727,1.4827,0.8157,0.8151,0.0445,0.0764,0.7876,0.0807,0.4709,9.5161,0.3429,0.2206,14.0,19.3906,0.1634,163.4349,0.8305,4.8569,6.9965,2.4716,2.7371,2
0.0772,0.7568,0.0678,0.6154,7.0,7.3069,10.4384,100.0,104.3841,0.4286,0.2603,10.0,10.4384,1.0,1.0438,0.0367,0.0981,0.0132,0.0344,0.7025,54.8675,12.5261,982.4955,5.6569,7.7642,2.1938,15.6576,4.9444,0.7568,0.6154,0.6671,0.6854,0.4979,0.6107,4.2898,2.2521,0.5042,44.0,45.929,0.0493,6.5,20.8211,21.7339,7.9722,4.0278,16.9772,17.7215,3.6389,3.2189,116.6949,5.2192,0.2223,0.2917,0.18,299.5825,0.7277,294.0,306.8894,60.0,62.6305,74.0,77.2443,65.0,67.8497,10.0,25.0,26.096,28.0,29.2276,21.0,21.9207,175.0,182.6722,2.122,71.0,74.1127,435,8.0,8.3507,6.0,6.263,0.0,0.0,12.0,0.0,0.0,58.0,60.5428,15.0,483.0,504.1754,1.4355,5.0,213.0,222.3382,12,12.5261,11.0,11.4823,0.0115,89.0,92.9019,45.0,46.9729,0.5056,42.0,43.8413,13.0,13.5699,63.0,65.762,2,2.8889,10.0,10.4384,5.0,5.2192,40.0,41.7537,27.0,28.1837,82.0,85.595,14.0,14.6138,36.0,37.5783,75.0,78.2881,1.477,0.8468,34.0,35.4906,145.0,131.0,136.7432,958.0,38.0,1062.0,6.9745,5,0.2283,26.6111,10.8611,8.8511,18.4756,3.0,1.5275,0.7709,0.7623,0.1054,0.2086,0.7293,0.2097,0.4541,8.9984,0.3143,0.1349,38.0,39.666,0.1367,136.7432,0.7099,4.5406,6.4143,2.2003,2.3618,2
0.0835,0.825,0.0438,0.7619,2.0,2.0877,11.4823,77.0,80.3758,0.1837,0.1535,6.0,6.263,0.0,0.0,0.0164,0.0363,0.0136,0.0349,0.728,62.4304,6.263,1018.6332,5.4355,7.3446,2.3636,17.7453,4.26,0.85,0.7619,0.6916,0.6278,0.4937,0.5268,4.4766,2.4445,0.4322,46.0,48.0167,0.054,5.12,17.6471,18.4208,6.36,3.04,13.0435,13.6153,2.24,3.4352,77.2015,1.0438,0.1879,0.1,0.0566,331.9415,0.6556,308.0,321.5031,40.0,41.7537,80.0,83.5073,42.0,43.8413,11.0,28.0,29.2276,17.0,17.7453,9.0,9.3946,159.0,165.9708,1.7138,51.0,53.2359,410,17.0,17.7453,9.0,9.3946,0.0,0.0,6.0,0.0,0.0,57.0,59.499,17.0,414.0,432.1503,1.261,1.0,180.0,187.8914,20,20.8768,12.0,12.5261,0.0125,57.0,59.499,30.0,31.3152,0.5263,51.0,53.2359,30.0,31.3152,131.0,136.7432,2,2.38,10.0,10.4384,3.0,3.1315,29.0,30.2714,12.0,12.5261,54.0,56.3674,9.0,9.3946,50.0,52.1921,56.0,58.4551,1.477,0.7841,34.0,35.4906,152.0,112.0,116.9102,958.0,26.0,1077.0,6.7255,4,0.4212,19.16,7.86,5.3852,11.9103,2.5,1.245,0.6822,0.7236,0.1446,0.267,0.6672,0.2545,0.428,7.2486,0.1429,0.1029,23.0,24.0084,0.1169,116.9102,0.6696,4.6465,6.6819,2.2202,2.5017,2
0.0603,0.7368,0.0571,0.7037,4.0,4.2283,6.3425,66.0,69.7674,0.2653,0.209,6.0,6.3425,0.0,0.0,0.0122,0.0296,0.0094,0.0273,0.7128,65.2921,17.9704,1050.3145,5.3168,7.5907,2.0135,24.3129,4.3,0.7368,0.7037,0.6726,0.662,0.5053,0.5878,4.3264,2.29,0.5021,29.0,30.6554,0.0512,5.34,17.2205,18.2035,5.94,2.94,16.0,16.9133,2.96,2.6608,113.2388,3.1712,0.2283,0.1111,0.0879,313.9535,0.6944,300.0,317.1247,49.0,51.797,57.0,60.2537,54.0,57.0825,6.0,18.0,19.0275,32.0,33.8266,6.0,6.3425,199.0,210.3594,1.6061,57.0,60.2537,420,11.0,11.6279,9.0,9.5137,0.0,0.0,17.0,0.0,0.0,66.0,69.7674,23.0,475.0,502.1142,1.1818,3.0,216.0,228.3298,14,14.7992,6.0,6.3425,0.0063,83.0,87.7378,37.0,39.1121,0.4458,63.0,66.5962,23.0,24.3129,64.0,67.6533,4,2.42,6.0,6.3425,5.0,5.2854,43.0,45.4545,22.0,23.2558,76.0,80.3383,14.0,14.7992,50.0,52.8541,72.0,76.1099,1.4461,0.7341,46.0,48.6258,147.0,148.0,156.4482,946.0,16.0,1067.0,7.9915,5,0.2286,18.92,7.36,5.347,11.2532,3.5714,1.9535,0.7488,0.7582,0.0546,0.0916,0.7371,0.0903,0.444,6.3607,0.1633,0.0767,27.0,28.5412,0.1564,156.4482,0.7162,4.5808,6.4783,2.1289,2.3654,2
0.0695,0.7606,0.0616,0.6349,12.0,11.7417,8.8063,82.0,80.2348,0.2973,0.2219,12.0,11.7417,2.0,1.9569,0.0285,0.0359,0.0163,0.0257,0.7106,46.4284,12.7202,1104.2196,5.2718,7.3392,2.1842,27.3973,6.1316,0.7606,0.6349,0.676,0.7112,0.5176,0.5974,4.5704,2.4099,0.5088,36.0,35.225,0.0444,6.8158,18.8679,18.4617,8.5789,4.3947,14.2308,13.9245,4.0526,1.8882,138.2844,2.9354,0.227,0.24,0.1633,318.9824,0.7586,324.0,317.0254,50.0,48.9237,71.0,69.4716,63.0,61.6438,9.0,30.0,29.3542,40.0,39.1389,6.0,5.8708,216.0,211.3503,1.6779,70.0,68.4932,488,4.0,3.9139,2.0,1.9569,0.0,0.0,13.0,1.0,0.9785,76.0,74.364,28.0,520.0,508.8063,1.2699,3.0,232.0,227.0059,13,12.7202,10.0,9.7847,0.0098,56.0,54.7945,19.0,18.591,0.3393,36.0,35.225,53.0,51.8591,84.0,82.1918,2,2.7105,8.0,7.8278,1.0,0.9785,39.0,38.1605,26.0,25.4403,74.0,72.407,26.0,25.4403,38.0,37.182,89.0,87.0841,1.5734,0.9141,32.0,31.3112,167.0,154.0,150.6849,1022.0,53.0,1125.0,5.9035,5,0.2658,26.8947,11.0,6.207,13.9657,2.9231,1.3846,0.8078,0.8084,0.0436,0.069,0.7904,0.0736,0.4775,9.8758,0.2162,0.1152,20.0,19.5695,0.1507,150.6849,0.6883,4.7952,6.9426,2.2492,2.5425,2
0.0677,0.8627,0.0292,0.8182,5.0,6.6401,1.328,51.0,67.7291,0.3889,0.1982,9.0,11.9522,1.0,1.328,0.0229,0.0424,0.012,0.0296,0.7947,49.4477,21.2483,1060.4656,5.5907,7.2337,2.4742,26.5604,5.8108,0.8627,0.8182,0.7432,0.6489,0.5697,0.6429,4.6902,2.5333,0.4768,25.0,33.2005,0.0455,5.7027,14.7601,19.6017,7.1351,3.4595,13.3705,17.7563,2.6486,2.9019,134.2146,2.656,0.2497,0.1667,0.1143,350.5976,0.7021,207.0,274.9004,31.0,41.1687,51.0,67.7291,22.0,29.2165,1.0,40.0,53.1208,20.0,26.5604,3.0,3.9841,159.0,211.1554,1.3902,40.0,53.1208,376,18.0,23.9044,4.0,5.3121,0.0,0.0,16.0,0.0,0.0,43.0,57.1049,20.0,359.0,476.7596,1.0795,2.0,188.0,249.668,19,25.2324,2.0,2.656,0.0027,29.0,38.5126,17.0,22.5764,0.5862,36.0,47.8088,31.0,41.1687,87.0,115.5378,4,2.4324,5.0,6.6401,0.0,0.0,35.0,46.4807,8.0,10.6242,48.0,63.745,12.0,15.9363,37.0,49.1368,57.0,75.6972,1.6162,0.8716,17.0,22.5764,128.0,98.0,130.1461,753.0,30.0,843.0,6.4773,8,0.3164,20.3514,9.2162,5.8362,12.9139,1.9474,1.3562,0.719,0.7648,0.0827,0.1374,0.7002,0.1369,0.4993,8.2731,0.2778,0.1517,11.0,14.6082,0.1301,130.1461,0.7959,4.9769,6.9296,2.3805,2.6831,2
0.1212,0.6396,0.0579,0.8868,10.0,10.917,7.6419,66.0,72.0524,0.2453,0.1873,8.0,8.7336,3.0,3.2751,0.0204,0.0373,0.0144,0.0298,0.7152,42.6759,5.4585,1035.3976,5.3727,7.2196,1.9655,28.3843,6.5556,0.6486,0.8868,0.6781,0.5616,0.4782,0.6154,4.9328,2.8561,0.5459,30.0,32.7511,0.0513,5.4074,21.2766,23.2277,5.1296,2.5,21.4,23.3624,2.1667,3.1739,106.2565,2.1834,0.2391,0.2093,0.1382,302.4017,0.6164,256.0,279.476,54.0,58.952,111.0,121.179,53.0,57.8603,7.0,24.0,26.2009,55.0,60.0437,22.0,24.0175,217.0,236.8996,2.0289,70.0,76.4192,409,24.0,26.2009,3.0,3.2751,0.0,0.0,5.0,0.0,0.0,49.0,53.4934,26.0,500.0,545.8515,1.4007,2.0,219.0,239.083,11,12.0087,7.0,7.6419,0.0076,51.0,55.6769,22.0,24.0175,0.4314,40.0,43.6681,33.0,36.0262,26.0,28.3843,1,2.0,44.0,48.0349,4.0,4.3668,44.0,48.0349,15.0,16.3755,107.0,116.8122,16.0,17.4672,54.0,58.952,62.0,67.6856,1.7369,1.1105,15.0,16.3755,135.0,117.0,127.7293,916.0,85.0,1024.0,5.3992,3,0.1061,16.963,6.8519,3.4341,8.149,4.9091,2.9062,0.7858,0.7829,0.0245,0.0804,0.7718,0.073,0.4465,10.2964,0.1887,0.1405,15.0,16.3755,0.1277,127.7293,0.7179,5.141,7.6405,2.5538,2.9223,2
0.0715,0.7727,0.0618,0.6842,10.0,10.8342,15.1679,78.0,84.507,0.3778,0.1981,5.0,5.4171,0.0,0.0,0.024,0.0352,0.0125,0.0274,0.7063,53.2903,9.7508,931.9205,5.0729,7.145,2.1748,37.9198,5.913,0.7727,0.6842,0.6574,0.5756,0.4615,0.5972,4.5293,2.4926,0.5114,45.0,48.7541,0.0545,5.8043,13.75,14.8971,5.8913,3.2609,12.9237,14.0018,3.1304,3.1607,108.3284,8.6674,0.2221,0.2059,0.1333,293.6078,0.639,289.0,313.1094,70.0,75.8397,66.0,71.506,57.0,61.7551,14.0,20.0,21.6685,28.0,30.3359,12.0,13.0011,171.0,185.2654,1.6937,44.0,47.6706,396,29.0,31.4193,13.0,14.0845,0.0,0.0,9.0,0.0,0.0,60.0,65.0054,35.0,472.0,511.3759,1.2103,8.0,205.0,222.1018,12,13.0011,17.0,18.4182,0.0184,58.0,62.8386,20.0,21.6685,0.3448,42.0,45.5038,37.0,40.0867,38.0,41.1701,4,2.2826,4.0,4.3337,1.0,1.0834,42.0,45.5038,14.0,15.1679,61.0,66.0888,11.0,11.9177,46.0,49.8375,74.0,80.1733,1.5742,0.8988,13.0,14.0845,150.0,144.0,156.013,923.0,43.0,1028.0,6.9716,5,0.1564,20.0652,7.1739,5.5219,11.8696,3.8333,2.0344,0.8004,0.7996,0.0471,0.0799,0.779,0.074,0.429,8.6524,0.2889,0.1304,18.0,19.5016,0.156,156.013,0.7292,4.7675,7.1333,2.1799,2.6119,2
0.093,0.8659,0.0692,0.7869,12.0,13.6054,9.0703,80.0,90.7029,0.1667,0.0598,10.0,11.3379,2.0,2.2676,0.0076,0.0185,0.0048,0.0149,0.8385,50.0994,19.2744,1584.352,5.6257,7.7273,2.3233,30.6122,6.3256,0.8659,0.7869,0.8001,0.8483,0.5771,0.6992,4.5339,2.3511,0.5522,36.0,40.8163,0.0323,5.6977,24.9389,28.2754,5.6977,3.3256,21.1499,23.9795,3.093,2.9137,232.3859,6.8027,0.2392,0.1,0.05,277.7778,0.8815,268.0,303.8549,61.0,69.161,82.0,92.9705,61.0,69.161,8.0,17.0,19.2744,26.0,29.4785,14.0,15.873,199.0,225.6236,1.7469,102.0,115.6463,511,12.0,13.6054,11.0,12.4717,0.0,0.0,17.0,0.0,0.0,46.0,52.1542,27.0,487.0,552.1542,1.3265,6.0,211.0,239.229,13,14.7392,8.0,9.0703,0.0091,54.0,61.2245,18.0,20.4082,0.3333,26.0,29.4785,34.0,38.5488,43.0,48.7528,1,2.4651,21.0,23.8095,5.0,5.6689,53.0,60.0907,24.0,27.2109,103.0,116.78,4.0,4.5351,43.0,48.7528,71.0,80.4989,1.6066,0.8975,10.0,11.3379,143.0,133.0,150.7937,882.0,39.0,988.0,6.2079,3,0.1693,20.5116,9.1628,6.8469,12.1279,3.3077,1.264,0.7763,0.7631,0.0159,0.054,0.7612,0.0634,0.5794,8.5697,0.0714,0.0343,20.0,22.6757,0.1508,150.7937,0.8195,4.7899,6.6244,2.1424,2.4901,2
0.0991,0.6989,0.0426,0.725,8.0,8.5288,4.2644,82.0,87.42,0.4186,0.3044,8.0,8.5288,0.0,0.0,0.0237,0.0341,0.0185,0.0295,0.7077,44.3173,19.1898,1010.549,5.9086,7.871,2.3037,26.6525,5.2273,0.6989,0.725,0.6655,0.6085,0.5426,0.6296,4.6959,2.4888,0.5608,51.0,54.371,0.0438,5.8636,22.8412,24.351,6.8864,3.3409,23.384,24.9296,3.0682,2.1545,152.1564,3.1983,0.2751,0.3462,0.2973,323.0277,0.6512,269.0,286.7804,31.0,33.049,93.0,99.1471,40.0,42.6439,4.0,55.0,58.6354,35.0,37.3134,13.0,13.8593,240.0,255.8635,1.6535,82.0,87.42,459,5.0,5.3305,4.0,4.2644,0.0,0.0,18.0,0.0,0.0,50.0,53.3049,25.0,526.0,560.7676,1.2145,3.0,258.0,275.0533,18,19.1898,5.0,5.3305,0.0053,38.0,40.5117,10.0,10.661,0.2632,29.0,30.9168,52.0,55.4371,48.0,51.1727,3,2.8636,23.0,24.5203,1.0,1.0661,75.0,79.9574,24.0,25.5864,123.0,131.1301,5.0,5.3305,44.0,46.9083,52.0,55.4371,1.6652,1.0111,24.0,25.5864,147.0,135.0,143.9232,938.0,72.0,1064.0,5.961,3,0.1569,21.3182,10.2955,4.8033,8.3985,2.4444,0.7617,0.7805,0.7771,0.0478,0.0737,0.7636,0.0732,0.4893,10.4369,0.3488,0.2611,15.0,15.9915,0.1439,143.9232,0.7556,4.9675,6.7792,2.3141,2.6337,2
