num_words,num_paragraphs,num_sentences,num_words_with_punct,num_total_prop,num_noun,num_verb,num_past,num_rare_words_4,num_rare_nouns_4,num_dif_rare_words_4,num_pres,num_indic,num_adv,num_personal_pronouns,num_third_pers_pron,num_subord,num_inf,num_adj,num_rel_subord,num_ger,num_past_irregular,num_rare_verbs_4,num_impera,num_rare_adj_4,num_pass,num_agentless,num_first_pers_pron,num_neg,noun_overlap_adjacent,noun_overlap_all,argument_overlap_adjacent,argument_overlap_all,stem_overlap_adjacent,stem_overlap_all,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std,all_connectives_incidence,causal_connectives_incidence,logical_connectives_incidence,adversative_connectives_incidence,temporal_connectives_incidence,conditional_connectives_incidence,dale_chall,smog,flesch_kincaid,flesch,simple_ttr,nttr,vttr,adj_ttr,adv_ttr,content_ttr,lemma_ttr,lemma_nttr,lemma_vttr,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,honore,maas,mtld,sentences_per_paragraph_mean,sentences_length_mean,sentences_length_no_stopwords_mean,num_syllables_words_mean,words_length_mean,words_length_no_stopwords_mean,lemmas_length_mean,sentences_per_paragraph_std,sentences_length_std,sentences_length_no_stopwords_std,num_syllables_words_std,words_length_std,words_length_no_stopwords_std,lemmas_length_std,left_embeddedness,num_content_words_not_a1_c1_words,num_a1_words,num_b2_words,num_b1_words,num_a2_words,num_c1_words,mean_depth_per_sentence,num_different_forms,num_pass_mean,num_past_irregular_mean,num_punct_marks_per_sentence,mean_propositions_per_sentence,mean_vp_per_sentence,mean_np_per_sentence,noun_phrase_density_incidence,verb_phrase_density_incidence,lexical_density,noun_density,verb_density,adj_density,adv_density,agentless_passive_density_incidence,negation_density_incidence,gerund_density_incidence,infinitive_density_incidence,num_modifiers_noun_phrase,num_decendents_noun_phrase,mean_rare_4,mean_distinct_rare_4,min_wf_per_sentence,polysemic_index,hypernymy_index,hypernymy_verbs_index,hypernymy_nouns_index,num_paragraphs_incidence,num_sentences_incidence,num_past_incidence,num_pres_incidence,num_future,num_future_incidence,num_indic_incidence,num_impera_incidence,num_past_irregular_incidence,num_pass_incidence,num_rare_nouns_4_incidence,num_rare_adj_4_incidence,num_rare_verbs_4_incidence,num_rare_advb_4,num_rare_advb_4_incidence,num_rare_words_4_incidence,num_dif_rare_words_4_incidence,num_lexic_words_incidence,num_noun_incidence,num_adj_incidence,num_adv_incidence,num_verb_incidence,num_subord_incidence,num_rel_subord_incidence,num_personal_pronouns_incidence,num_first_pers_pron_incidence,num_first_pers_sing_pron,num_first_pers_sing_pron_incidence,num_third_pers_pron_incidence,num_a1_words_incidence,num_a2_words_incidence,num_b1_words_incidence,num_b2_words_incidence,num_c1_words_incidence,num_content_words_not_a1_c1_words_incidence,level
566,12,31,724,90,145,83,41,32,22,28,14,28,27,15,14,27,4,33,2,13,16,8,2,2,4,4,1,1,0.5263,0.4333,0.5263,0.4333,0.5263,0.4333,0.0679,0.05,0.0503,0.0515,68.9046,3.5336,54.7703,5.3004,5.3004,0.0,8.1967,7.7177,9.738999999999999,58.8422,0.4505,0.6552,0.7711,0.8485,0.8148,0.7724,0.5141,0.6138,0.6506,0.8485,0.8148,0.7319,948.6057,0.0598,96.4998,2.5833,17.3226,14.870999999999999,1.5230000000000001,4.6182,6.3333,4.298,0.9538,7.6132,6.0147,0.8356,2.5128,2.2242,2.2598,4.2581,144,181,16,15,22,2,5.2581,255,0.0071,0.3902,3.3871,2.9032,2.6774,6.0645,332.1555,146.6431,0.5088,0.2562,0.1466,0.0583,0.0477,7.0671,1.7668,22.9682,7.0671,0.5319,0.6755,11.1111,14.0,3.5871,5.8486,5.183,1.7683,7.1549,21.2014,54.7703,72.4382,24.735,0,0.0,49.47,3.5336,28.2686,7.0671,38.8693,3.5336,14.1343,0,0.0,56.5371,49.47,508.8339,256.1837,58.3039,47.7032,146.6431,47.7032,3.5336,26.5018,1.7668,0,0.0,24.735,319.788,38.8693,26.5018,28.2686,3.5336,254.417,1
790,15,39,886,123,151,115,44,51,28,48,26,57,30,70,54,60,17,59,8,12,23,12,0,9,4,3,16,9,0.12,0.09300000000000001,0.48,0.4186,0.12,0.09300000000000001,0.0273,0.0477,0.0314,0.0623,60.7595,8.8608,35.443000000000005,2.5316,12.6582,1.2658,8.3789,9.4668,11.4427,50.0524,0.4861,0.7881,0.8087,0.7288,0.8667,0.7981,0.5379999999999999,0.7417,0.6522,0.7288,0.8667,0.7473,1080.2804,0.0469,96.2786,2.6667,19.9744,12.9231,1.6038,4.6418,6.3879,4.4365,1.1353,10.707,7.9884,0.9593,2.5052,2.2424,2.4172,4.5897,144,285,21,19,49,13,5.4359,384,0.0051,0.5227,2.359,3.1538,2.9487,7.6923,379.7468,145.5696,0.4494,0.1911,0.1456,0.0747,0.038,3.7975,11.3924,15.1899,21.519000000000002,0.4833,0.5933,14.3662,17.1429,3.0103,7.0966,5.0528,2.4609,7.04,18.9873,49.3671,55.6962,32.9114,1,1.2658,72.1519,0.0,29.1139,5.0633,35.443000000000005,11.3924,15.1899,2,2.5316,64.557,60.7595,449.3671,191.1392,74.6835,37.9747,145.5696,75.9494,10.1266,88.6076,20.2532,11,13.9241,68.3544,360.7595,62.0253,24.0506,26.5823,16.4557,182.2785,1
672,16,31,792,109,160,96,36,63,48,38,31,54,38,27,20,53,6,61,9,8,18,7,0,8,5,5,7,4,0.3333,0.25,0.4667,0.375,0.4,0.2917,0.0405,0.0411,0.0298,0.0409,63.9881,2.9762,47.619,2.9762,8.9286,1.4881,8.8942,9.2853,11.7056,49.7494,0.4449,0.55,0.7188,0.7377,0.6316,0.6595,0.4866,0.5188,0.5938,0.7377,0.6316,0.6205,949.8689999999999,0.0574,99.2227,1.9375,22.0968,14.8387,1.5967,4.6715,6.3229,4.4526,1.0879,9.4574,6.0059,0.9447,2.5307,2.381,2.4025,8.1613,172,227,30,13,44,4,6.1613,299,0.0074,0.5,3.0645,3.5161,3.0968,7.6774,354.1667,142.8571,0.5283,0.2381,0.1429,0.0908,0.0565,7.4405,5.9524,11.9048,8.9286,0.4412,0.5756,17.7465,17.1946,3.0194,6.365,5.3992,1.9896,7.6259,23.8095,46.131,53.5714,46.131,0,0.0,80.3571,0.0,26.7857,7.4405,71.4286,11.9048,10.4167,0,0.0,93.75,56.5476,528.2738,238.0952,90.7738,56.5476,142.8571,78.869,13.3929,40.1786,10.4167,1,1.4881,29.7619,337.7976,65.4762,19.3452,44.6429,5.9524,255.9524,1
771,13,45,890,115,179,113,63,55,37,41,18,58,40,53,41,52,12,59,8,10,30,6,0,11,5,4,8,0,0.0909,0.1159,0.3333,0.3768,0.1212,0.1304,0.0059,0.0196,0.0116,0.0336,66.1479,3.8911,33.7224,3.8911,24.6433,0.0,7.845,6.0791,9.0536,63.6461,0.4669,0.6872,0.7611,0.7458,0.775,0.7423,0.5149,0.6369,0.6018,0.7458,0.775,0.6899,980.5089999999999,0.0506,113.6769,3.5385,16.8889,12.1333,1.4669,4.5684,6.0625,4.3342,1.2779,9.173,7.2529,0.745,2.3649,2.0873,2.2933,3.4889,164,268,25,13,55,3,5.0889,360,0.0065,0.4762,2.2444,2.5556,2.5111,6.4667,377.4319,146.5629,0.5071,0.2322,0.1466,0.0765,0.0519,5.1881,0.0,12.9702,15.5642,0.4605,0.5773,14.0665,14.7482,2.8256,7.9481,5.4158,2.0531,7.5506,16.8612,58.3658,81.7121,23.3463,1,1.297,75.227,0.0,38.9105,6.4851,47.9896,14.2672,7.7821,1,1.297,71.3359,53.1777,507.1336,232.166,76.524,51.8807,146.5629,67.4449,10.3761,68.7419,10.3761,6,7.7821,53.1777,347.6005,71.3359,16.8612,32.4254,3.8911,212.7108,2
724,10,29,800,113,162,114,31,39,24,37,46,59,48,28,25,60,7,51,15,6,15,9,1,6,8,6,3,4,0.2632,0.2812,0.4737,0.5,0.3684,0.375,0.0285,0.047,0.0305,0.0401,89.779,6.9061,46.9613,16.5746,17.9558,1.3812,8.975,10.0854,12.6615,48.7525,0.489,0.7593,0.6228,0.8824,0.6458,0.7276,0.518,0.716,0.5088,0.8824,0.6458,0.6883,1033.0076,0.0478,124.5278,2.9,24.7241,15.931,1.5691,4.7071,6.3245,4.5356,0.9434,10.537,6.7412,0.9472,2.5209,2.3556,2.4082,5.5517,156,270,28,20,39,2,6.2069,354,0.011000000000000001,0.4839,2.4138,3.8966,3.931,9.0345,361.8785,157.4586,0.518,0.2238,0.1575,0.0704,0.0663,8.2873,5.5249,8.2873,9.6685,0.4427,0.542,10.4,13.9623,2.0093,6.2775,4.9077,1.886,7.1019,13.8122,40.0552,42.8177,63.5359,1,1.3812,81.4917,1.3812,20.7182,11.0497,33.1492,8.2873,12.4309,0,0.0,53.8674,51.105,517.9558,223.7569,70.442,66.2983,157.4586,82.8729,20.7182,38.674,4.1436,1,1.3812,34.5304,372.9282,53.8674,27.6243,38.674,2.7624,215.4696,2
634,17,35,732,117,151,92,29,38,29,29,30,45,20,30,18,53,8,39,9,8,16,6,0,3,4,3,11,2,0.1,0.1111,0.3,0.2778,0.15,0.1667,0.015,0.045,0.0134,0.0391,56.7823,12.6183,29.9685,3.1546,7.8864,3.1546,9.3666,7.4475,11.1211,50.6181,0.5205,0.6358,0.8152,0.8462,0.85,0.7868,0.5899,0.5828,0.6739,0.8462,0.85,0.7382,963.2182,0.0447,141.8013,2.1765,18.0571,13.6571,1.6088,4.9462,6.3325,4.6883,1.2941,9.2054,7.1272,0.8490000000000001,2.6194,2.4083,2.5024,6.1143,138,183,12,35,31,3,5.3714,330,0.0063,0.5517,2.4286,3.3429,2.6286,7.8,430.5994,145.1104,0.4763,0.2382,0.1451,0.0615,0.0315,4.7319,3.1546,12.6183,12.6183,0.3516,0.4066,12.5828,13.242,3.052,6.3537,5.3235,2.3444,7.1351,26.8139,55.205,45.7413,47.3186,1,1.5773,70.9779,0.0,25.2366,6.3091,45.7413,4.7319,9.4637,0,0.0,59.9369,45.7413,476.3407,238.1703,61.5142,31.5457,145.1104,83.5962,14.1956,47.3186,17.3502,2,3.1546,28.3912,288.6435,48.8959,55.205,18.9274,4.7319,217.6656,2
775,11,47,862,115,188,97,43,66,31,37,29,41,42,34,9,50,15,90,12,2,22,2,0,32,5,5,25,1,0.2778,0.1667,0.4167,0.254,0.3056,0.2143,0.026000000000000002,0.0412,0.0241,0.0412,36.129,3.8710000000000004,24.5161,1.2903,6.4516,0.0,8.6718,10.0006,10.9389,46.0054,0.4206,0.5638,0.6598,0.6111,0.7619,0.6492,0.4658,0.5266,0.5052,0.6111,0.7619,0.6012,914.4780000000001,0.0595,83.7721,4.2727,16.383,10.6596,1.7032,4.9805,6.8362,4.7844,2.9876,8.1229,4.8434,1.1105,2.866,2.6499,2.7929,5.6596,176,264,29,18,53,14,5.382999999999999,326,0.0065,0.5116,1.8085,2.4468,2.0638,5.6596,343.2258,125.1613,0.5381,0.2426,0.1252,0.1161,0.0542,6.4516,1.2903,2.5806,19.3548,0.5827,0.7143,15.8273,14.6825,3.4172,5.9053,5.2968,1.7292,7.1283,14.1935,60.6452,55.4839,37.4194,0,0.0,52.9032,0.0,28.3871,6.4516,40.0,41.2903,2.5806,1,1.2903,85.1613,47.7419,538.0645,242.5806,116.12899999999999,54.1935,125.1613,64.5161,15.4839,43.871,32.2581,2,2.5806,11.6129,340.6452,68.3871,23.2258,37.4194,18.0645,227.0968,2
681,10,37,768,107,144,111,49,30,23,15,31,56,38,32,11,57,12,42,10,6,23,6,0,1,10,7,21,6,0.2593,0.1667,0.4815,0.4242,0.3333,0.2727,0.0323,0.048,0.0238,0.0415,55.8003,2.9369,35.2423,2.9369,14.6843,0.0,7.7955,8.0092,9.677999999999999,58.4584,0.4185,0.5972,0.6577,0.7619,0.7368,0.6884,0.4728,0.5417,0.5045,0.7619,0.7368,0.6362,720.9348,0.0628,97.8885,3.7,17.7838,12.0,1.5330000000000001,4.6702,6.4341,4.4605,1.7916,7.6198,5.7139,0.87,2.5449,2.289,2.4493,5.7568,130,246,15,13,52,5,5.4595,285,0.0147,0.4694,2.1081,2.8919,3.0,6.1622,334.8018,162.9956,0.4919,0.2115,0.163,0.0617,0.0558,10.279000000000002,8.8106,8.8106,17.6211,0.5,0.5702,8.9552,7.0093,2.9341,7.4534,4.9116,1.9722,7.1631,14.6843,54.3319,71.953,45.5213,1,1.4684,82.23200000000001,0.0,33.7739,14.6843,33.7739,1.4684,8.8106,0,0.0,44.0529,22.0264,491.9236,211.4537,61.674,55.8003,162.9956,83.7004,14.6843,46.9897,30.837,13,19.0896,16.1527,361.2335,76.3583,19.0896,22.0264,7.3421,190.8957,2
737,11,41,834,124,170,116,38,51,30,50,37,49,63,28,11,64,16,67,6,9,13,10,0,8,3,3,12,6,0.0968,0.0923,0.2581,0.1846,0.0968,0.0923,0.0142,0.0279,0.0134,0.0267,80.0543,8.1411,36.635,10.8548,24.4233,0.0,8.3631,8.0158,10.2804,54.1741,0.5563,0.8353,0.7586,0.8507,0.7619,0.8016,0.5617,0.7882,0.6379,0.8507,0.7619,0.7597,1264.1523,0.0373,186.9354,3.8182,17.9512,12.3902,1.5834,4.7133,6.2634,4.4986,1.0285,8.9795,6.4387,0.8971,2.5018,2.2227,2.3928,5.0244,146,266,21,17,59,8,5.4634,410,0.0041,0.3421,2.1707,3.0244,2.8293,5.9512,331.0719,157.3948,0.5645,0.2307,0.1574,0.0909,0.0855,4.0706,8.1411,12.2117,21.7096,0.4918,0.6148,12.2596,15.2905,3.3329,6.5577,5.2376,2.0172,7.4879999999999995,14.9254,55.6309,51.5604,50.2035,1,1.3569,66.4858,0.0,17.6391,4.0706,40.7056,10.8548,13.5685,3,4.0706,69.1995,67.8426,564.4505,230.6649,90.9091,85.4817,157.3948,86.8385,8.1411,37.9919,16.2822,11,14.9254,14.9254,360.9227,80.0543,23.0665,28.4939,10.8548,198.1004,2
723,16,37,839,117,195,100,27,89,58,54,40,38,39,19,15,37,4,82,8,15,7,13,0,16,8,7,4,5,0.381,0.3939,0.4286,0.4242,0.4286,0.4545,0.0385,0.0445,0.0418,0.0435,85.7538,8.2988,59.4744,2.7663,15.2144,0.0,8.6679,10.0306,11.828,45.0653,0.4965,0.6409999999999999,0.71,0.7317,0.7436,0.7066,0.5242,0.6051,0.55,0.7317,0.7436,0.6576,924.7123,0.0466,107.8762,2.3125,19.7027,14.6216,1.6777,4.8313,6.2668,4.5885,1.044,9.1263,6.7358,1.0239,2.5419,2.3112,2.3964,4.9189,189,227,22,36,33,5,5.6216,359,0.0111,0.2593,2.6486,3.1622,2.7027,7.0811,362.379,138.3126,0.5754,0.2697,0.1383,0.1134,0.0539,9.6819,6.9156,20.7469,5.5325,0.5115,0.6412,21.3942,19.6364,2.2049,5.7297,5.8502,2.05,7.8824,22.13,51.1757,37.3444,55.325,1,1.3831,52.5588,0.0,9.6819,11.065,80.2213,22.13,17.9806,2,2.7663,123.0982,74.6888,575.3804,269.7095,113.4163,53.9419,138.3126,51.1757,11.065,26.2794,5.5325,4,5.5325,20.7469,313.9696,45.6432,49.7925,30.4288,6.9156,261.4108,2
