num_words,num_paragraphs,num_sentences,num_words_with_punct,num_total_prop,num_noun,num_verb,num_past,num_rare_words_4,num_rare_nouns_4,num_dif_rare_words_4,num_pres,num_indic,num_adv,num_personal_pronouns,num_third_pers_pron,num_subord,num_inf,num_adj,num_rel_subord,num_ger,num_past_irregular,num_impera,num_rare_adj_4,num_pass,num_agentless,num_rare_verbs_4,num_first_pers_pron,num_neg,noun_overlap_adjacent,noun_overlap_all,argument_overlap_adjacent,argument_overlap_all,stem_overlap_adjacent,stem_overlap_all,content_overlap_adjacent_mean,content_overlap_adjacent_std,content_overlap_all_mean,content_overlap_all_std,all_connectives_incidence,causal_connectives_incidence,logical_connectives_incidence,adversative_connectives_incidence,temporal_connectives_incidence,conditional_connectives_incidence,dale_chall,smog,flesch_kincaid,flesch,simple_ttr,nttr,vttr,adj_ttr,adv_ttr,content_ttr,lemma_ttr,lemma_nttr,lemma_vttr,lemma_adj_ttr,lemma_adv_ttr,lemma_content_ttr,honore,maas,mtld,sentences_per_paragraph_mean,sentences_length_mean,sentences_length_no_stopwords_mean,num_syllables_words_mean,words_length_mean,words_length_no_stopwords_mean,lemmas_length_mean,sentences_per_paragraph_std,sentences_length_std,sentences_length_no_stopwords_std,num_syllables_words_std,words_length_std,words_length_no_stopwords_std,lemmas_length_std,left_embeddedness,num_content_words_not_a1_c1_words,num_a1_words,num_b2_words,num_b1_words,num_a2_words,num_c1_words,mean_depth_per_sentence,num_different_forms,num_pass_mean,num_past_irregular_mean,num_punct_marks_per_sentence,mean_propositions_per_sentence,mean_vp_per_sentence,mean_np_per_sentence,noun_phrase_density_incidence,verb_phrase_density_incidence,lexical_density,noun_density,verb_density,adj_density,adv_density,agentless_passive_density_incidence,negation_density_incidence,gerund_density_incidence,infinitive_density_incidence,num_modifiers_noun_phrase,num_decendents_noun_phrase,mean_rare_4,mean_distinct_rare_4,min_wf_per_sentence,polysemic_index,hypernymy_index,hypernymy_verbs_index,hypernymy_nouns_index,num_paragraphs_incidence,num_sentences_incidence,num_past_incidence,num_pres_incidence,num_future,num_future_incidence,num_indic_incidence,num_impera_incidence,num_past_irregular_incidence,num_pass_incidence,num_rare_nouns_4_incidence,num_rare_adj_4_incidence,num_rare_verbs_4_incidence,num_rare_advb_4,num_rare_advb_4_incidence,num_rare_words_4_incidence,num_dif_rare_words_4_incidence,num_lexic_words_incidence,num_noun_incidence,num_adj_incidence,num_adv_incidence,num_verb_incidence,num_subord_incidence,num_rel_subord_incidence,num_personal_pronouns_incidence,num_first_pers_pron_incidence,num_first_pers_sing_pron,num_first_pers_sing_pron_incidence,num_third_pers_pron_incidence,num_a1_words_incidence,num_a2_words_incidence,num_b1_words_incidence,num_b2_words_incidence,num_c1_words_incidence,num_content_words_not_a1_c1_words_incidence,level
746,18,33,923,116,182,82,43,43,29,42,19,38,34,24,20,41,5,72,4,9,19,0,5,6,4,8,2,3,0.375,0.32,0.5625,0.44,0.5,0.4,0.0759,0.1187,0.0532,0.1007,50.9383,6.7024,34.8525,0.0,9.3834,0.0,9.8165,9.3395,12.2709,47.3504,0.4718,0.6648,0.7317,0.6528,0.6471,0.6741,0.5174,0.6209,0.622,0.6528,0.6471,0.6357,953.9661,0.0503,116.0092,1.8889,21.9091,19.0,1.6139,4.852,6.2904,4.668,1.0482,8.7364,8.866,0.9609,2.6058,2.3914,2.4982,8.4848,153,211,32,42,47,4,5.7879,352,0.008,0.4419,3.9394,3.5152,2.4848,8.8182,390.0804,109.9196,0.496,0.244,0.1099,0.0965,0.0456,5.3619,4.0214,12.0643,6.7024,0.488,0.6048,11.6216,17.1429,2.3033,6.5042,5.428,1.963,7.0227,24.1287,44.2359,57.6408,25.4692,0,0.0,50.9383,0.0,25.4692,8.0429,38.874,6.7024,10.7239,1,1.3405,57.6408,56.3003,495.9786,243.9678,96.5147,45.5764,109.9196,54.9598,5.3619,32.1716,2.681,1,1.3405,26.8097,282.8418,63.0027,56.3003,42.8954,5.3619,205.0938,0
858,12,43,988,139,163,124,38,59,34,43,48,63,50,44,27,68,10,77,13,15,17,0,9,4,3,13,13,3,0.2903,0.1667,0.5161,0.3939,0.3871,0.2273,0.031,0.046,0.0185,0.0363,83.9161,13.986,34.965,5.8275,27.972,1.1655,8.1412,7.6559,10.0771,59.2,0.4172,0.638,0.6452,0.6623,0.74,0.6714,0.4709,0.5706,0.4919,0.6623,0.74,0.6162,897.597,0.0582,110.7742,3.5833,19.907,13.3023,1.5,4.4661,6.0545,4.2664,1.3202,10.7201,7.2514,0.8154,2.3712,2.1515,2.2374,6.3953,185,316,12,15,35,4,5.4186,358,0.0047,0.4474,2.5349,3.2326,2.8837,7.0,350.8159,144.5221,0.4825,0.19,0.1445,0.0897,0.0583,3.4965,3.4965,17.4825,11.655,0.4718,0.5548,14.2512,16.1654,2.7253,7.394,5.1809,1.9919,7.6835,13.986,50.1166,44.289,55.9441,2,2.331,73.4266,0.0,19.8135,4.662,39.627,10.4895,15.1515,3,3.4965,68.7646,50.1166,482.5175,189.9767,89.7436,58.2751,144.5221,79.2541,15.1515,51.2821,15.1515,8,9.324,31.4685,368.2984,40.7925,17.4825,13.986,4.662,215.6177,0
932,11,37,1063,155,232,161,21,89,53,65,58,57,67,35,28,93,24,75,19,25,6,2,8,8,7,26,4,11,0.2593,0.2727,0.5185,0.5091,0.4074,0.3455,0.0198,0.027000000000000003,0.0209,0.0285,75.1073,7.5107,38.6266,6.4378,19.3133,3.2189,9.9346,11.2625,14.0102,39.4813,0.4732,0.6207,0.7019,0.76,0.6866,0.6923,0.4871,0.5733,0.5776,0.76,0.6866,0.6494,970.0092,0.0465,155.3333,3.4545,25.5676,17.7568,1.676,4.9535,6.6074,4.6998,1.2332,12.1356,8.3485,1.0118,2.733,2.4186,2.5606,6.8108,210,349,33,30,82,13,6.7568,441,0.0086,0.2857,2.9730000000000003,4.1892,4.3514,8.9189,354.0773,172.7468,0.574,0.2489,0.1727,0.0805,0.0719,7.5107,11.8026,26.824,25.7511,0.4515,0.5455,16.6355,18.4659,2.2514,6.7004,4.9702,2.3082,6.9857,11.8026,39.6996,22.5322,62.2318,4,4.2918,61.1588,2.1459,6.4378,8.5837,56.867,8.5837,27.897,2,2.1459,95.4936,69.7425,574.0343,248.927,80.4721,71.8884,172.7468,99.7854,20.3863,37.5536,4.2918,2,2.1459,30.0429,374.4635,87.9828,32.1888,35.4077,13.9485,225.3219,0
563,15,44,682,112,129,100,42,35,20,30,30,55,31,56,39,46,12,32,11,7,26,2,6,6,6,9,12,5,0.1,0.0526,0.3,0.2632,0.1333,0.1228,0.0068,0.0179,0.005,0.017,69.2718,3.5524,44.405,8.881,10.6572,1.7762,7.6928,7.6863,8.008,62.7187,0.5133,0.7597,0.7,0.9688,0.7742,0.8007,0.5861,0.6589,0.58,0.9688,0.7742,0.7455,957.7071,0.0478,130.3623,3.0,13.0455,9.2955,1.5346,4.6568,6.3887,4.4251,1.2649,7.3976,5.4171,0.8781,2.7835,2.7106,2.6701,4.1364,134,210,13,9,22,4,4.5909,289,0.0107,0.619,2.1818,2.5455,2.2727,5.2045,406.7496,177.6199,0.5187,0.2291,0.1776,0.0568,0.0551,10.6572,8.881,12.4334,21.3144,0.3188,0.3581,11.9863,13.5747,3.1723,7.8685,4.5921,1.8081,6.7287,26.643,78.1528,74.6004,53.286,0,0.0,97.6909,3.5524,46.1812,10.6572,35.524,10.6572,15.9858,0,0.0,62.167,53.286,518.6501,229.1297,56.8384,55.0622,177.6199,81.7052,19.5382,99.4671,21.3144,11,19.5382,69.2718,373.0018,39.0764,15.9858,23.0906,7.1048,238.0107,0
620,9,23,682,107,155,103,48,42,31,23,13,29,26,17,14,70,20,29,9,8,18,0,1,13,12,10,3,5,0.4286,0.3462,0.5714,0.5,0.5714,0.4615,0.0616,0.0752,0.0556,0.0679,75.8065,14.5161,33.871,4.8387,22.5806,0.0,8.7173,8.9647,14.4712,41.5059,0.4274,0.5097,0.6311,0.7586,0.7692,0.6672,0.4806,0.4387,0.5146,0.7586,0.7692,0.6203,685.1702,0.0629,97.7564,2.5556,26.6522,17.3913,1.6161,4.9233,6.6867,4.6297,1.3426,13.6306,9.9422,0.9004,2.6397,2.2638,2.4927,5.9129999999999985,129,199,22,22,42,12,6.7826,265,0.021,0.375,2.3478,4.6522,4.4783,9.6087,356.4516,166.12900000000005,0.5048,0.25,0.1661,0.0468,0.0419,19.3548,8.0645,12.9032,32.2581,0.4299,0.6154,13.4185,12.4324,2.5996,7.2524,5.3438,1.9612,7.6209,14.5161,37.0968,77.4194,20.9677,1,1.6129,46.7742,0.0,29.0323,20.9677,50.0,1.6129,16.129,0,0.0,67.7419,37.0968,504.8387,250.0,46.7742,41.9355,166.12900000000005,112.9032,14.5161,27.4194,4.8387,0,0.0,22.5806,320.9677,67.7419,35.4839,35.4839,19.3548,208.0645,0
804,15,44,913,150,215,127,23,40,24,31,56,57,24,49,47,74,27,57,12,10,6,1,8,6,6,8,2,3,0.3103,0.3208,0.6207,0.6226,0.4483,0.5094,0.0371,0.0612,0.0372,0.0564,47.2637,0.0,37.3134,6.2189,3.7313,0.0,8.2154,8.0765,10.1316,54.9695,0.4229,0.5721,0.685,0.7018,0.7083,0.6668,0.4789,0.5302,0.5591,0.7018,0.7083,0.6249,914.6176,0.0583,98.6252,2.9333,17.9091,12.7955,1.5759,4.8414,6.4315,4.5114,1.1813,7.2326,6.1110000000000015,0.8841,2.5056,2.182,2.3541,5.75,167,301,26,19,51,4,5.9318,340,0.0075,0.2609,2.1591,3.4091,2.8864,7.0455,385.5721,157.9602,0.5261,0.2674,0.158,0.0709,0.0299,7.4627,3.7313,12.4378,33.5821,0.429,0.4903,9.4563,11.7424,2.6775,7.3,5.1462,1.9291,7.0465,18.6567,54.7264,28.607,69.6517,0,0.0,70.8955,1.2438,7.4627,7.4627,29.8507,9.9502,9.9502,0,0.0,49.7512,38.5572,526.1194,267.4129,70.8955,29.8507,157.9602,92.0398,14.9254,60.9453,2.4876,1,1.2438,58.4577,374.3781,63.4328,23.6318,32.3383,4.9751,207.7114,0
754,21,41,859,149,142,141,61,27,14,25,32,75,26,55,31,71,20,58,18,12,30,3,5,5,3,7,15,9,0.0909,0.0625,0.2727,0.1875,0.0909,0.0625,0.0239,0.0393,0.0193,0.0366,86.2069,5.305,57.0292,7.9576,10.6101,5.305,8.716000000000001,8.7717,12.9104,45.8226,0.508,0.8169,0.6241,0.8276,0.8462,0.7787,0.508,0.7887,0.4894,0.8276,0.8462,0.738,1160.035,0.0441,137.5299,2.0476,18.5854,12.2439,1.6114,4.7178,6.3695,4.5236,0.95,9.768,5.3227,0.9178,2.6354,2.4628,2.5518,3.2195,155,249,33,18,37,11,5.9024,383,0.0066,0.4918,2.1463,3.6341,3.439,6.6829,363.3952,187.0027,0.4867,0.1883,0.187,0.0769,0.0345,3.9788,11.9363,15.9151,26.5252,0.4270000000000001,0.5146,7.3569,9.1575,3.0698,7.0523,4.5638,2.1786,6.9155,27.8515,54.3767,80.9019,42.4403,2,2.6525,99.4695,3.9788,39.7878,6.6313,18.5676,6.6313,9.2838,1,1.3263,35.809,33.1565,486.7374,188.3289,76.9231,34.4828,187.0027,94.1645,23.8727,72.9443,19.8939,11,14.5889,41.1141,330.2387,49.0716,23.8727,43.7666,14.5889,205.5703,0
899,13,42,1018,134,243,119,75,70,44,51,13,63,49,34,29,67,11,77,14,11,26,0,6,11,8,20,3,5,0.3448,0.431,0.5172,0.5862,0.4138,0.4828,0.0324,0.05,0.0323,0.0418,58.9544,4.4494,31.1457,5.5617,16.6852,1.1123,9.4404,10.8138,13.6344,36.3646,0.4549,0.5885,0.8235,0.7532,0.7755,0.7352,0.5072,0.5267,0.6807,0.7532,0.7755,0.684,943.8185,0.0501,141.042,3.2308,21.1667,14.6429,1.7519,5.1969,7.0226,4.9291,1.31,10.748,7.8401,1.0999,2.7941,2.4135,2.6448,7.5476,222,328,38,28,47,8,5.9524,409,0.0122,0.3467,2.5238,3.1905,2.8333,7.9048,369.2992,132.3693,0.5428,0.2703,0.1324,0.0857,0.0545,8.8988,5.5617,12.2358,12.2358,0.5482,0.7440000000000001,14.3443,15.4079,3.0583,6.5957,5.4079,2.3277,6.9744,14.4605,46.7186,83.426,14.4605,1,1.1123,70.0779,0.0,28.921,12.2358,48.9433,6.6741,22.2469,0,0.0,77.8643,56.7297,542.8254,270.3003,85.6507,54.505,132.3693,74.5273,15.5729,37.8198,3.337,0,0.0,32.2581,364.8498,52.2803,31.1457,42.2692,8.8988,246.941,0
929,17,46,1071,152,248,124,55,105,64,93,35,50,40,31,25,71,11,88,14,10,28,0,23,14,14,17,3,7,0.2414,0.1569,0.3793,0.2353,0.2759,0.1765,0.0259,0.0429,0.0165,0.0352,67.8149,8.6114,36.5985,3.2293,17.2228,2.1529,8.4285,7.2555,10.1197,58.4802,0.5005,0.6976,0.7258,0.7955,0.65,0.7172,0.5253,0.6573,0.5968,0.8068,0.65,0.6777,1086.7144,0.0422,160.44799999999995,2.7059,20.0217,14.5652,1.5113,4.6884,6.175,4.4484,1.1765,10.3619,7.9991,0.7875,2.3595,1.934,2.2392,6.4129999999999985,243,323,32,37,41,6,5.5870000000000015,465,0.0151,0.5091,2.4348,3.3043,2.6957,7.5217,372.4435,133.4769,0.5382,0.267,0.1335,0.0947,0.0431,15.07,7.535,10.7643,11.8407,0.5405,0.711,21.0,25.9053,2.7793,6.1197,5.6514,2.1138,7.4129999999999985,18.2992,49.5156,59.2034,37.6749,2,2.1529,53.8213,0.0,30.1399,15.07,68.8913,24.7578,18.2992,1,1.0764,113.0248,100.1076,538.2131,266.9537,94.7255,43.0571,133.4769,76.4263,15.07,33.3692,3.2293,3,3.2293,26.9107,347.6857,44.1335,39.8278,34.4456,6.4586,261.5716,0
717,10,46,856,126,148,112,69,51,40,41,15,65,49,60,36,62,9,39,7,9,44,0,0,5,5,11,22,12,0.2222,0.2198,0.6111,0.5934,0.25,0.2527,0.0349,0.052000000000000005,0.0298,0.0453,66.9456,4.1841,32.0781,5.5788,22.3152,2.7894,7.3826,6.4983,7.2625,71.3731,0.4491,0.6622,0.6071,0.8205,0.5918,0.6704,0.5035,0.6014,0.4821,0.8205,0.5918,0.624,843.557,0.0553,112.2438,4.6,15.3913,11.1304,1.41,4.2556,5.7115,4.0381,1.2806,8.7464,6.377999999999999,0.7217,2.2745,2.097,2.1392,5.0217,166,259,13,15,36,3,4.8478,322,0.006999999999999999,0.6377,2.3478,2.7391,2.4348,6.0435,387.7266,156.2064,0.4854,0.2064,0.1562,0.0544,0.0683,6.9735,16.7364,12.5523,12.5523,0.3597,0.4424,14.6552,18.3857,3.4033,6.8684,5.2124,1.8929,7.7415,13.947,64.1562,96.2343,20.9205,1,1.3947,90.6555,0.0,61.3668,6.9735,55.788,0.0,15.3417,0,0.0,71.1297,57.1827,485.3556,206.4156,54.3933,68.3403,156.2064,86.4714,9.7629,83.682,30.6834,20,27.894,50.2092,361.2273,50.2092,20.9205,18.1311,4.1841,231.5202,0
